cgi,latitude,longitude,azimuth,address,maincity,subcity,mcc,mnc,lac,cellid,type,circle,operator
4.05E+13,22.64067,75.88664,,"Ind-031B_Nok_Tejajinagar, Telephone Exchange Tejaji Nagar, Tehsil & Dist Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.64067,75.88664,,"Ind-031B_Nok_Tejajinagar, Telephone Exchange Tejaji Nagar, Tehsil & Dist Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132021,22.55807,75.75746,,"Ind-017A_Nok_Mhowex, Telphone Exchange Mhow Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132022,22.55807,75.75746,,"Ind-017A_Nok_Mhowex, Telphone Exchange Mhow Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132023,22.55807,75.75746,,"Ind-017A_Nok_Mhowex, Telphone Exchange Mhow Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.59884,75.78852,,"Ind-118D_Nok_Umariaex, Telphone Exchange Umariya, Tehsil Mhow Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.59884,75.78852,,"Ind-118D_Nok_Umariaex, Telphone Exchange Umariya, Tehsil Mhow Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.59884,75.78852,,"Ind-118D_Nok_Umariaex, Telphone Exchange Umariya, Tehsil Mhow Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.5697,75.74277,,"Ind-093C_Nok_Mhowgaon, Mhow Neemuch Road, Mhowgoan, Mhow Dist Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.5697,75.74277,,"Ind-093C_Nok_Mhowgaon, Mhow Neemuch Road, Mhowgoan, Mhow Dist Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.5697,75.74277,,"Ind-093C_Nok_Mhowgaon, Mhow Neemuch Road, Mhowgoan, Mhow Dist Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.56111,75.76358,,"Ind-094C_Nok_Mhowsanghistreet, 732 Tel Gali Sanghi Street, Mhow",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.56111,75.76358,,"Ind-094C_Nok_Mhowsanghistreet, 732 Tel Gali Sanghi Street, Mhow",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.56111,75.76358,,"Ind-094C_Nok_Mhowsanghistreet, 732 Tel Gali Sanghi Street, Mhow",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.41542,75.70747,,"Ind-114D_Nok_Mennex, Telphone Exchange Menn, Tehsil Mhow Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.41542,75.70747,,"Ind-114D_Nok_Mennex, Telphone Exchange Menn, Tehsil Mhow Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.41542,75.70747,,"Ind-114D_Nok_Mennex, Telphone Exchange Menn, Tehsil Mhow Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.55608,75.76914,,"Ind-297H_Nok_Mhowrailwaystation, Police Thana Campus, Haat Maidan, Near Railway Station, Mhow, Dist Indore, M.P.",,,,,,,2g,Madhya Pradesh,BSNL
40458733132072,22.55608,75.76914,,"Ind-297H_Nok_Mhowrailwaystation, Police Thana Campus, Haat Maidan, Near Railway Station, Mhow, Dist Indore, M.P.",,,,,,,2g,Madhya Pradesh,BSNL
40458733132073,22.55608,75.76914,,"Ind-297H_Nok_Mhowrailwaystation, Police Thana Campus, Haat Maidan, Near Railway Station, Mhow, Dist Indore, M.P.",,,,,,,2g,Madhya Pradesh,BSNL
40458733132081,22.53677,75.73281,,"Ind-125D_Nok_Gawalipalasia, 74, Adarsh Nagar, Gavali Palasia, Mhow Tehsil: Mhiow, Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.53677,75.73281,,"Ind-125D_Nok_Gawalipalasia, 74, Adarsh Nagar, Gavali Palasia, Mhow Tehsil: Mhiow, Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.53677,75.73281,,"Ind-125D_Nok_Gawalipalasia, 74, Adarsh Nagar, Gavali Palasia, Mhow Tehsil: Mhiow, Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.58481,75.77992,,"Ind-126D_Nok_Kishanganj, Kishanganj, Mhow Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132092,22.58481,75.77992,,"Ind-126D_Nok_Kishanganj, Kishanganj, Mhow Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132093,22.58481,75.77992,,"Ind-126D_Nok_Kishanganj, Kishanganj, Mhow Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132101,22.97975,75.83345,,"Ind-018A_Nok_Sanwerex, Telphone Exchange Sanver, Tehsil:Sanver Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132102,22.97975,75.83345,,"Ind-018A_Nok_Sanwerex, Telphone Exchange Sanver, Tehsil:Sanver Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132103,22.97975,75.83345,,"Ind-018A_Nok_Sanwerex, Telphone Exchange Sanver, Tehsil:Sanver Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132111,22.97394,75.82733,,"Ind-134D_Nok_Sanwer2, Chatubhuj Mandir Sanver, Tehsil: Sanver Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132112,22.97394,75.82733,,"Ind-134D_Nok_Sanwer2, Chatubhuj Mandir Sanver, Tehsil: Sanver Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132113,22.97394,75.82733,,"Ind-134D_Nok_Sanwer2, Chatubhuj Mandir Sanver, Tehsil: Sanver Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132121,22.53704,75.74403,,"Ind-164F_Nok_Kodariya2, Shri Harisingh S/O Bapusingh Gram Ganglyakhedi Tehsil Mhow",,,,,,,2g,Madhya Pradesh,BSNL
40458733132122,22.53704,75.74403,,"Ind-164F_Nok_Kodariya2, Shri Harisingh S/O Bapusingh Gram Ganglyakhedi Tehsil Mhow",,,,,,,2g,Madhya Pradesh,BSNL
40458733132123,22.53704,75.74403,,"Ind-164F_Nok_Kodariya2, Shri Harisingh S/O Bapusingh Gram Ganglyakhedi Tehsil Mhow",,,,,,,2g,Madhya Pradesh,BSNL
40458733132131,22.53472,75.77144,,"Ind-091C_Nok_Kodariyamhow, 24, Near Sardar Patel Main Road Koderiya, Kodriya, Dr. Ambedkar Nagar, Madhya Pradesh 453441 Prashanti Sadan Main Road, Kodria, Mhow",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.53472,75.77144,,"Ind-091C_Nok_Kodariyamhow, 24, Near Sardar Patel Main Road Koderiya, Kodriya, Dr. Ambedkar Nagar, Madhya Pradesh 453441 Prashanti Sadan Main Road, Kodria, Mhow",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.53472,75.77144,,"Ind-091C_Nok_Kodariyamhow, 24, Near Sardar Patel Main Road Koderiya, Kodriya, Dr. Ambedkar Nagar, Madhya Pradesh 453441 Prashanti Sadan Main Road, Kodria, Mhow",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.84428,75.51894,,"Ind-003A_Nok_Depalpur, Telphone Exchange Depalpur, Tehsil Depalpur Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.84428,75.51894,,"Ind-003A_Nok_Depalpur, Telphone Exchange Depalpur, Tehsil Depalpur Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.84428,75.51894,,"Ind-003A_Nok_Depalpur, Telphone Exchange Depalpur, Tehsil Depalpur Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.84921,75.54007,,"Ind-163F_Nok_Depalpur2, Chaman Chouraha, Depalpur., Tehsil:Depalpur Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.84921,75.54007,,"Ind-163F_Nok_Depalpur2, Chaman Chouraha, Depalpur., Tehsil:Depalpur Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.84921,75.54007,,"Ind-163F_Nok_Depalpur2, Chaman Chouraha, Depalpur., Tehsil:Depalpur Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.78526,75.90243,,"Ind-023B_Nok_Lasudia, Telephone Exchange Lasudia, Tehsil & Dist Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.78526,75.90243,,"Ind-023B_Nok_Lasudia, Telephone Exchange Lasudia, Tehsil & Dist Indore",,,,,,,2g,Madhya Pradesh,BSNL
