CdrNo,B Party,Date,Time,Duration,Call Type,First Cell ID,First Cell ID Address,Last Cell ID,Last Cell ID Address,IMEI,IMSI,Roaming,Main City(First CellID),Sub City (First CellID),Lat-Long-Azimuth (First CellID),Crime,Circle,Operator,LRN,CallForward,B Party Provider,B Party Circle,B Party Operator,Type,IMEI Manufacturer
7774445552,910987654321,2/20/2025,1:00:50,105,CALL_OUT,4058630000110,"Rajesh Kumar Pandey, Mahamaya Mandir Road, Ambikapur.Pin-9826624298. Pin-497001",405863000051,"Mrs. Manju Devi Tiwari, Bauripara, Ambikapur. Dist-Sarguja. Pin-497001. Ph.-9584889233",868821056903500,405863120341348,,AMBIKAPUR,Mahamaya Ward,"23.11823, 83.20882, 310",murder charges,,,3094,y,RELIANCE JIO,Madhya Pradesh,RELIANCE JIO,Phone,
7774445552,JY-JioPay,2/20/2025,8:23:04,,A2P_SMSIN,4058630000111,"Rajesh Kumar Pandey, Mahamaya Mandir Road, Ambikapur.Pin-9826624298. Pin-497001",4058630000523,"Mrs. Manju Devi Tiwari, Bauripara, Ambikapur. Dist-Sarguja. Pin-497001. Ph.-9584889233",868821056903503,405863120341348,,AMBIKAPUR,Mahamaya Ward,"23.11823, 83.20882, 140",murder charges,,,3094,n,RELIANCE JIO,Madhya Pradesh,RELIANCE JIO,SMS,
7774445552,JY-JioPay,2/20/2025,8:23:04,,A2P_SMSIN,4058630000112,"Rajesh Kumar Pandey, Mahamaya Mandir Road, Ambikapur.Pin-9826624298. Pin-497001",4058630000524,"Mrs. Manju Devi Tiwari, Bauripara, Ambikapur. Dist-Sarguja. Pin-497001. Ph.-9584889233",868821056903503,405863120341348,,AMBIKAPUR,Mahamaya Ward,"23.11823, 83.20882, 210",murder charges,,,3094,y,RELIANCE JIO,Madhya Pradesh,RELIANCE JIO,SMS,
7774445552,JY-JioPay,2/20/2025,8:23:04,,A2P_SMSIN,4058630000113,"Rajesh Kumar Pandey, Mahamaya Mandir Road, Ambikapur.Pin-9826624298. Pin-497001",4058630000525,"Mrs. Manju Devi Tiwari, Bauripara, Ambikapur. Dist-Sarguja. Pin-497001. Ph.-9584889233",868821056903503,405863120341348,,AMBIKAPUR,Mahamaya Ward,"23.11823, 83.20882, 310",murder charges,,,3094,y,RELIANCE JIO,Madhya Pradesh,RELIANCE JIO,SMS,
7774445552,JY-JioPay,2/20/2025,8:23:04,,A2P_SMSIN,4058630000114,"Rajesh Kumar Pandey, Mahamaya Mandir Road, Ambikapur.Pin-9826624298. Pin-497001",4058630000530,"Mrs. Manju Devi Tiwari, Bauripara, Ambikapur. Dist-Sarguja. Pin-497001. Ph.-9584889233",868821056903503,405863120341348,,AMBIKAPUR,Mahamaya Ward,"23.11823, 83.20882, 140",murder charges,,,3094,y,RELIANCE JIO,Madhya Pradesh,RELIANCE JIO,SMS,
7774445552,JY-JioPay,2/20/2025,8:23:04,,A2P_SMSIN,4058630000115,"Rajesh Kumar Pandey, Mahamaya Mandir Road, Ambikapur.Pin-9826624298. Pin-497001",4058630000531,"Mrs. Manju Devi Tiwari, Bauripara, Ambikapur. Dist-Sarguja. Pin-497001. Ph.-9584889233",868821056903503,405863120341348,,AMBIKAPUR,Mahamaya Ward,"23.11823, 83.20882, 210",murder charges,,,3094,y,RELIANCE JIO,Madhya Pradesh,RELIANCE JIO,SMS,
7774445552,JY-JioPay,2/20/2025,8:23:04,,A2P_SMSIN,4058630000116,"Rajesh Kumar Pandey, Mahamaya Mandir Road, Ambikapur.Pin-9826624298. Pin-497001",4058630000532,"Mrs. Manju Devi Tiwari, Bauripara, Ambikapur. Dist-Sarguja. Pin-497001. Ph.-9584889233",868821056903503,405863120341348,,AMBIKAPUR,Mahamaya Ward,"23.11823, 83.20882, 310",murder charges,,,3094,y,RELIANCE JIO,Madhya Pradesh,RELIANCE JIO,SMS,
7774445552,JY-JioPay,2/20/2025,8:23:04,,A2P_SMSIN,4058630000117,"Rajesh Kumar Pandey, Mahamaya Mandir Road, Ambikapur.Pin-9826624298. Pin-497001",4058630000533,"Mrs. Manju Devi Tiwari, Bauripara, Ambikapur. Dist-Sarguja. Pin-497001. Ph.-9584889233",868821056903503,405863120341348,,AMBIKAPUR,Mahamaya Ward,"23.11823, 83.20882, 140",murder charges,,,3094,y,RELIANCE JIO,Madhya Pradesh,RELIANCE JIO,SMS,
7774445552,911234554321,2/20/2025,8:38:46,,P2P_SMSIN,4058630000118,"Rajesh Kumar Pandey, Mahamaya Mandir Road, Ambikapur.Pin-9826624298. Pin-497001",4058630000534,"Mrs. Manju Devi Tiwari, Bauripara, Ambikapur. Dist-Sarguja. Pin-497001. Ph.-9584889233",868821056903503,405863120341348,,AMBIKAPUR,Mahamaya Ward,"23.11823, 83.20882, 210",murder charges,,,3094,y,RELIANCE JIO,Madhya Pradesh,RELIANCE JIO,SMS,
7774445552,50000,2/20/2025,8:38:46,,A2P_SMSIN,4058630000119,"Rajesh Kumar Pandey, Mahamaya Mandir Road, Ambikapur.Pin-9826624298. Pin-497001",4058630000535,"Mrs. Manju Devi Tiwari, Bauripara, Ambikapur. Dist-Sarguja. Pin-497001. Ph.-9584889233",868821056903503,405863120341348,,AMBIKAPUR,Mahamaya Ward,"23.11823, 83.20882, 310",murder charges,,,,y,,,,SMS,
7774445552,911234554321,2/20/2025,8:39:02,48,CALL_IN,405863000011,"Shri Brij Dyal Lakda, S/o. Bifal Lakda, Ward   8, Patpariya, Near Dasmesh School, Ambikapur, . Dist-Sarguja, Pin-497001,",4058630000536,"Mrs. Manju Devi Tiwari, Bauripara, Ambikapur. Dist-Sarguja. Pin-497001. Ph.-9584889233",868821056903500,405863120341348,,AMBIKAPUR,Patpariya,"23.13454, 83.16896, 120",murder charges,,,3094,y,RELIANCE JIO,Madhya Pradesh,RELIANCE JIO,Phone,
7774445552,915432198760,2/20/2025,8:46:48,101,CALL_IN,405863000011,"Shri Brij Dyal Lakda, S/o. Bifal Lakda, Ward   8, Patpariya, Near Dasmesh School, Ambikapur, . Dist-Sarguja, Pin-497001,",4058630000537,"Mrs. Manju Devi Tiwari, Bauripara, Ambikapur. Dist-Sarguja. Pin-497001. Ph.-9584889233",868821056903500,405863120341348,,AMBIKAPUR,Patpariya,"23.13454, 83.16896, 120",murder charges,,,,y,,,,Phone,
7774445552,918887774441,2/20/2025,8:52:57,50,CALL_IN,4058630000123,"Rajesh Kumar Pandey, Mahamaya Mandir Road, Ambikapur.Pin-9826624298. Pin-497001",4058630000538,"Mrs. Manju Devi Tiwari, Bauripara, Ambikapur. Dist-Sarguja. Pin-497001. Ph.-9584889233",868821056903500,405863120341348,,AMBIKAPUR,Mahamaya Ward,"23.11823, 83.20882",murder charges,,,3094,y,RELIANCE JIO,Madhya Pradesh,RELIANCE JIO,Phone,
7774445552,919993111405,2/20/2025,9:22:30,258,CALL_OUT,4058630000124,"Rajesh Kumar Pandey, Mahamaya Mandir Road, Ambikapur.Pin-9826624298. Pin-497001",4058630000610,"Shobha Singh, Pratappur Chowk, Kedarpur, Ambikapur. Pin-497001, Ph-9425366120",868821056903500,405863120341348,,AMBIKAPUR,Mahamaya Ward,"23.11823, 83.20882",murder charges,,,3094,n,RELIANCE JIO,Madhya Pradesh,RELIANCE JIO,Phone,
