BAL,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PAN India,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Call Details of Mobile No '1234567890' from '15-Mar-2025' to '29-Mar-2025',,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Target No,Call Type,TOC,B Party No,LRN No,LRN TSP-LSA,Date,Time,Dur(s),First CGI Lat/Long,First CGI,Last CGI Lat/Long,Last CGI,SMSC No,Service Type,IMEI,IMSI,Call Fow No,Roam Nw,SW & MSC ID,IN TG,OUT TG,Vowifi First UE IP,Port1,Vowifi Last UE IP,Port2
1234567890,IN,Pre,1254785210,3076,IDEA-MU,'15/03/2025',8:59:54,689,19.28591/73.05833,404-93-1000-153857025,19.28737/73.05746,404-90-6251-230781190,'-',Voice,'869742076200500','405540332979723',-,AIR MH,'9935152267',10.5.189.186,ims.mnc054.mcc405.3gppnetwork.org,,,,
1234567890,IN,Pre,1254785212,4104,VODA-UE,'15/03/2025',9:40:36,1157,19.28889/73.05973,404-93-1000-153857026,19.29075/73.05857,404-90-6251-240699936,'-',Voice,'869742076200500','405540332979723',-,AIR MH,'9935152267',10.5.62.172,ims.mnc054.mcc405.3gppnetwork.org,,,,
1234567890,IN,Pre,1254785244,3009,AIR-PB,'15/03/2025',10:12:26,2,19.28889/73.05973,404-93-1000-153857027,19.28889/73.05973,404-90-6251-202525698,'-',Voice,'869742076200500','405540332979723',-,AIR MH,'9935152267',ims.mnc002.mcc404.3gppnetwork.org,ims.mnc054.mcc405.3gppnetwork.org,,,,
1234567890,IN,Pre,9797643102,3095,RJIL-MH,'15/03/2025',10:44:09,16,19.28889/73.05973,404-93-1000-156182017,19.28889/73.05973,404-90-6251-202525698,'-',Voice,'869742076200500','405540332979723',-,AIR MH,'9935152267',10.69.109.12,ims.mnc054.mcc405.3gppnetwork.org,,,,
1234567890,OUT,Pre,9797643102,3095,RJIL-MH,'15/03/2025',10:45:27,21,19.28889/73.05973,404-93-1000-156182018,19.29075/73.05857,404-90-6251-240699936,'-',Voice,'869742076200500','405540332979723',-,AIR MH,'9935152267',ims.mnc054.mcc405.3gppnetwork.org,,,,,
1234567890,SMT,Pre,AX-ARTLTV,,-,'15/03/2025',11:16:51,0,19.28889/73.05973,404-93-1000-156182019,,---,'919810251017',SMS,'869742076200500','405540332979723',-,AIR MH,'9935152267',,,,,,
1234567890,IN,Pre,9797643114,4100,VODA-MH,'15/03/2025',11:55:46,113,19.28889/73.05973,404-93-1000-156209921,19.28889/73.05973,404-90-6251-202525698,'-',Voice,'869742076200500','405540332979723',-,AIR MH,'9935152267',10.5.31.188,ims.mnc054.mcc405.3gppnetwork.org,,,,
1234567890,OUT,Pre,9797643102,3095,RJIL-MH,'15/03/2025',11:58:27,9,19.28889/73.05973,404-93-1000-156209922,19.28889/73.05973,404-90-6251-202525698,'-',Voice,'869742076200500','405540332979723',-,AIR MH,'9935152267',ims.mnc054.mcc405.3gppnetwork.org,,,,,
1234567890,OUT,Pre,9797643102,3095,RJIL-MH,'15/03/2025',11:58:54,19,19.28889/73.05973,404-93-1000-156209923,19.28889/73.05973,404-90-6251-202525698,'-',Voice,'869742076200500','405540332979723',-,AIR MH,'9935152267',ims.mnc054.mcc405.3gppnetwork.org,,,,,
1234567890,IN,Pre,9797643114,4100,VODA-MH,'15/03/2025',12:01:13,13,19.28889/73.05973,404-93-1000-156216833,19.28889/73.05973,404-90-6251-202525698,'-',Voice,'869742076200500','405540332979723',-,AIR MH,'9935152267',10.5.31.188,ims.mnc054.mcc405.3gppnetwork.org,,,,
