---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,
                                                                                                                                                  new govt a Records,,,,,,,,,,,,,,,,,,,,,
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,
MSISDN : - 1234567890,,,,,,,,,,,,,,,,,,,,,
Report Type :- ALLINDIA Report,,,,,,,,,,,,,,,,,,,,,
From Date :- 01/03/2025 00:00:00,,,,,,,,,,,,,,,,,,,,,
Till Date :- 31/03/2025 11:37:15,,,,,,,,,,,,,,,,,,,,,
Report Index :- MP_201305547,,,,,,,,,,,,,,,,,,,,,
Report Date :- 31-Mar-2025 01:54:03 PM,,,,,,,,,,,,,,,,,,,,,
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,
Target /A PARTY NUMBER,CALL_TYPE,Type of Connection,B PARTY NUMBER,LRN- B Party Number,Translation of LRN,Call date,Call Initiation Time,Call Duration,First BTS Location,First Cell Global Id,Last BTS Location,Last Cell Global Id,SMS Centre Number,Service Type,IMEI,IMSI,Call Forwarding Number,Roaming Network/Circle,MSC ID,In TG ,Out TG
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,
911234567890,Incoming,PREPAID,912356852487,-,-,3/1/2025,7:09:03,26,"Chitrakoot, Majhgawan Madhya Pradesh 485334, India",404156060644257,"Reliance Tower Mp5Usbrwa003B -Mr.Vishnu Gurjar (Sarpanch) S/O Mr.Babulal Gurjar, Vill&Post-Dhanpada, The-Badwah, Dist-Khargone (Mp). Mob-9770020122, Barwaha, Khargone (West Nimar), Madhya Pradesh",404780001022396,-,Voice,861224074394390,404225013431234,-,MAG-Vodafone - India,919823000736,IMS.MNC022.MCC404.3GPPNETWORK.ORG,ims.mnc027.mcc404.3gppnetwork.org
911234567890,Incoming,PREPAID,912356852487,-,-,3/1/2025,7:09:48,22,"Chitrakoot, Majhgawan Madhya Pradesh 485334, India",404156060644258,"Reliance Tower Mp5Usbrwa003B -Mr.Vishnu Gurjar (Sarpanch) S/O Mr.Babulal Gurjar, Vill&Post-Dhanpada, The-Badwah, Dist-Khargone (Mp). Mob-9770020122, Barwaha, Khargone (West Nimar), Madhya Pradesh",404780001022397,-,Voice,861224074394390,404225013431234,-,MAG-Vodafone - India,919823000736,IMS.MNC022.MCC404.3GPPNETWORK.ORG,ims.mnc027.mcc404.3gppnetwork.org
911234567890,Incoming,PREPAID,912356852488,-,-,3/1/2025,7:17:25,38,"Jawa Madhya Pradesh 486556, India",404156090055263,"Chandpur, Teonthar, Rewa, Madhya Pradesh",404780001030307,-,Voice,861224074394390,404225013431234,-,MAG-Vodafone - India,919823000736,-,ims.mnc027.mcc404.3gppnetwork.org
911234567890,Outgoing,PREPAID,8851827647,2727,Bharti - Mobile-Delhi & NCR,3/1/2025,7:18:44,10,"Majhgawan Madhya Pradesh 485334, India",40415611003997,"Chandpur, Teonthar, Rewa, Madhya Pradesh",404780001030308,-,Voice,861224074394390,404225013431234,-,MAG-Vodafone - India,919823000736,ims.mnc027.mcc404.3gppnetwork.org,SIP.MNC022.MCC404.3GPPNETWORK.ORG
911234567890,Incoming,PREPAID,VZ-ViCARE,-,-,3/1/2025,7:18:59,1,"Datia Sub-District Madhya Pradesh 475671, India",404156118233451,"Chandpur, Teonthar, Rewa, Madhya Pradesh",404780001030309,919820405728,SMS,861224074394390,404225013431234,-,MAG-Vodafone - India,-,-,-
911234567890,Outgoing,PREPAID,912356852477,-,-,3/1/2025,7:20:21,1,"MSH-8, Burhanpur Sub-District Madhya Pradesh 450445, India",404221005505632,"Tata International, Industrial Area, Dewas, Dewas (M Corp.), Madhya Pradesh",404780001050020,919823000040,SMS,861224074394390,404225013431234,-,MAG-Vodafone - India,-,-,-
911234567890,Incoming,PREPAID,VZ-ViCARE,-,-,3/1/2025,7:20:26,1,"Lanji Madhya Pradesh 481224, India",404222006718911,"Tata International, Industrial Area, Dewas, Dewas (M Corp.), Madhya Pradesh",404780001050021,919820405728,SMS,861224074394390,404225013431234,-,MAG-Vodafone - India,-,-,-
911234567890,Outgoing,PREPAID,912356852477,-,-,3/1/2025,7:20:41,1,"Khairlanji Madhya Pradesh 481337, India",404226002722753,"Chirmiri 2, Chirmiri (M.Corp Part), Khadganva, Koriya, Chhattisgarh",404780001135016,919823000040,SMS,861224074394390,404225013431234,-,MAG-Vodafone - India,-,-,-
911234567890,Outgoing,PREPAID,912356852477,-,-,3/1/2025,7:23:34,1,"Khairlanji Madhya Pradesh 481337, India",404270141551713,"Chirmiri 2, Chirmiri (M.Corp Part), Khadganva, Koriya, Chhattisgarh",404780001135017,919823000040,SMS,861224074394390,404225013431234,-,MAG-Vodafone - India,-,-,-
