cgi,latitude,longitude,azimuth,address,maincity,subcity,mcc,mnc,lac,cellid,type,circle,operator
404156060644257,25.17591,80.87025,NULL,"Chitrakoot, Majhgawan Madhya Pradesh 485334, India",,,,,,,UNKNOWN,Madhya Pradesh,VI
404156060644258,25.17229,80.86191,NULL,"Chitrakoot, Majhgawan Madhya Pradesh 485334, India",,,,,,,UNKNOWN,Madhya Pradesh,VI
404156090055263,25.11709,81.38635,NULL,"Jawa Madhya Pradesh 486556, India",,,,,,,UNKNOWN,Madhya Pradesh,VI
40415611003997,25.15302,80.84534,NULL,"Majhgawan Madhya Pradesh 485334, India",,,,,,,UNKNOWN,Madhya Pradesh,VI
404156118233451,25.58505,78.48845,NULL,"Datia Sub-District Madhya Pradesh 475671, India",,,,,,,UNKNOWN,Madhya Pradesh,VI
404221005505632,21.14335,76.14043,NULL,"MSH-8, Burhanpur Sub-District Madhya Pradesh 450445, India",,,,,,,UNKNOWN,Madhya Pradesh,VI
404222006718911,21.39753,80.51688,NULL,"Lanji Madhya Pradesh 481224, India",,,,,,,UNKNOWN,Madhya Pradesh,VI
404226002722753,21.53491,79.88852,NULL,"Khairlanji Madhya Pradesh 481337, India",,,,,,,UNKNOWN,Madhya Pradesh,VI
404270141551713,21.58014,79.97074,NULL,"Khairlanji Madhya Pradesh 481337, India",,,,,,,UNKNOWN,Madhya Pradesh,VI
404272291840979,21.39765,80.51686,NULL,"Lanji Madhya Pradesh 481224, India",,,,,,,UNKNOWN,Madhya Pradesh,VI
404600264523564,23.76811,75.54195,NULL,"Alot Madhya Pradesh 457114, India",,,,,,,UNKNOWN,Madhya Pradesh,VI
404600266632081,24.19882,74.89384,NULL,"Jiran Madhya Pradesh 458336, India",,,,,,,UNKNOWN,Madhya Pradesh,VI
404601550060092,23.04203,74.67211,NULL,"Meghnagar Madhya Pradesh 457772, India",,,,,,,UNKNOWN,Madhya Pradesh,VI
404602106235642,26.63795,77.92613,NULL,"Gwalior Road, Morena Sub-District Madhya Pradesh 476001, India",,,,,,,UNKNOWN,Madhya Pradesh,VI
404602222023323,24.02195,75.76686,NULL,"Suwasara Madhya Pradesh 458888, India",,,,,,,UNKNOWN,Madhya Pradesh,VI
40460262224512,25.00765,77.11251,NULL,"Guna Madhya Pradesh 473105, India",,,,,,,UNKNOWN,Madhya Pradesh,VI
